Country Name,Country Code,Year,IC.FRM.BRIB.GRAFT2,IC.FRM.CORR.CORR1,IC.FRM.CORR.CORR11,IC.FRM.CORR.CRIME9,IC.FRM.CRM.CRIME1,IC.FRM.CRM.CRIME2_C,IC.FRM.CRM.CRIME3_C,IC.FRM.CRM.CRIME8,IC.FRM.EMP.GROW.PEFT2,IC.FRM.FCHAR.CAR2,IC.FRM.FCHAR.CAR7,IC.FRM.FCHAR.CAR8,IC.FRM.FIAS.PEFT4,IC.FRM.FIN.FIN1,IC.FRM.FIN.FIN10,IC.FRM.FIN.FIN11,IC.FRM.FIN.FIN12,IC.FRM.FIN.FIN13,IC.FRM.FIN.FIN14,IC.FRM.FIN.FIN16,IC.FRM.FIN.FIN2,IC.FRM.FIN.FIN20,IC.FRM.FIN.FIN21,IC.FRM.FIN.FIN22,IC.FRM.FIN.FIN7,IC.FRM.GEN.GEND1,IC.FRM.GEN.GEND6,IC.FRM.INFOR.INFOR1,IC.FRM.INFOR.INFOR2,IC.FRM.INFRA.IN10_C,IC.FRM.INFRA.IN11,IC.FRM.INFRA.IN12,IC.FRM.INFRA.IN4_C,IC.FRM.OBS.OBST1,IC.FRM.OBS.OBST12,IC.FRM.OBS.OBST13,IC.FRM.OBS.OBST14,IC.FRM.OBS.OBST4,IC.FRM.OBS.OBST8,IC.FRM.PROD.GROW.PEFT3,IC.FRM.REG.BUS5,IC.FRM.REG.REG2_C,IC.FRM.REG.REG4,IC.FRM.REG.REG5,IC.FRM.REG.REG6,IC.FRM.SLS.GROW.PEFT1,IC.FRM.TRD.TR16,IC.FRM.TRD.TR17,IC.FRM.TRD.TR5,IC.FRM.TRD.TR9,IC.FRM.WRKF.WK10,IC.FRM.WRKF.WK9
Latvia,LVA,2019,0.6,0.0,17.3,6.9,76.8,0.9,0.9,2.5,0.4,83.1,17.0,2.0,60.3,78.6,176.2,79.9,20.0,26.5,35.2,11.0,10.0,63.6,3.6,36.4,5.8,46.6,20.7,37.4,22.0,1.6,12.9,15.8,0.4,5.1,11.7,4.8,36.1,2.4,1.3,0.5,6.0,1.6,44.9,23.3,16.6,0.4,27.6,31.3,12.8,5.5,37.3,7.5
Lebanon,LBN,2013,14.3,14.6,61.4,8.7,21.8,1.1,5.4,33.0,1.6,98.0,2.7,0.0,44.4,61.7,207.7,68.7,53.1,40.2,57.3,41.5,32.9,45.0,7.7,12.8,17.3,43.5,5.3,57.1,36.9,47.6,14.7,55.1,7.0,6.6,2.0,1.6,4.4,6.7,11.1,-3.1,7.3,1.8,27.4,14.2,37.0,-2.8,29.6,39.1,11.3,25.9,15.3,7.2
Lebanon,LBN,2019,18.8,19.3,77.9,12.1,21.1,1.1,9.1,2.6,-3.6,97.6,1.2,0.0,13.8,73.8,173.0,87.1,38.9,44.5,39.4,47.8,23.8,44.9,7.2,2.5,25.9,9.9,4.7,56.3,45.5,48.8,7.2,32.2,0.7,28.7,6.5,0.0,6.6,12.1,5.0,-6.6,7.3,1.6,41.0,12.9,35.0,-10.5,19.4,23.9,7.7,22.3,9.9,3.3
Lesotho,LSO,2016,9.8,15.7,50.7,21.8,65.8,8.4,17.3,33.2,4.2,86.4,15.0,0.3,26.6,41.0,105.8,97.8,51.8,34.9,18.7,32.8,18.8,49.9,2.2,24.1,12.4,39.1,25.4,68.1,50.1,25.7,32.4,24.8,2.5,8.1,16.6,1.0,19.5,1.8,4.8,-5.7,29.3,1.7,38.1,39.3,66.8,-1.5,9.8,21.4,5.6,27.9,15.9,14.2
Liberia,LBR,2017,41.5,41.7,49.9,23.5,51.3,7.8,9.3,27.3,19.8,66.3,23.0,0.0,56.3,72.1,171.8,82.9,19.4,20.1,18.9,38.8,10.9,34.2,8.7,12.3,8.4,37.4,15.6,68.7,43.1,54.4,35.6,60.3,6.1,29.9,4.4,4.0,14.2,5.4,22.5,9.1,27.6,4.9,38.4,38.6,81.9,27.8,3.1,4.8,0.9,29.3,14.9,6.4
Lithuania,LTU,2013,7.9,7.8,24.7,5.2,51.9,0.9,4.6,16.2,3.7,93.4,8.6,2.1,57.2,60.9,190.2,75.7,30.5,26.6,35.1,16.4,20.5,49.6,25.1,46.2,7.7,35.7,17.8,55.8,31.1,14.0,17.3,33.9,0.3,15.3,19.4,2.6,29.8,1.7,2.0,6.1,5.5,1.3,44.6,19.0,37.7,9.0,24.1,32.0,13.6,5.0,37.5,11.4
Lithuania,LTU,2019,0.1,0.0,7.8,3.8,71.6,0.7,0.9,6.9,0.3,92.7,8.3,0.0,47.1,74.3,163.6,67.1,17.5,20.9,29.1,10.9,13.0,65.2,15.9,21.0,6.7,43.1,18.4,47.3,22.2,3.6,10.4,25.3,1.1,6.5,12.4,2.0,41.5,1.3,3.3,6.7,6.3,1.4,42.4,13.6,16.3,7.3,20.7,27.0,11.0,1.9,23.1,3.9
Luxembourg,LUX,2020,0.0,0.0,3.4,2.1,64.7,1.3,1.8,9.7,5.6,55.7,49.9,0.0,63.0,60.7,117.6,48.3,33.8,30.3,48.7,11.8,24.8,62.7,0.0,12.7,12.6,40.5,8.3,14.0,12.9,20.3,12.6,30.8,0.0,7.0,9.8,1.0,5.7,0.0,3.0,0.7,1.5,1.2,9.7,2.1,23.7,5.7,44.9,47.8,24.1,3.8,30.0,7.5
Madagascar,MDG,2013,32.0,31.7,30.2,13.3,53.8,3.3,5.3,11.15,0.1,80.6,20.3,0.3,29.4,81.1,197.0,82.1,13.0,19.1,14.5,12.6,4.3,43.2,4.1,38.2,6.2,41.6,20.7,71.7,18.7,32.2,10.9,25.5,13.6,5.5,2.7,4.8,6.1,4.9,15.5,2.1,5.8,1.5,15.6,9.7,56.1,-0.8,16.8,20.8,13.5,13.4,10.5,4.6
Malawi,MWI,2014,20.2,18.3,30.1,7.3,70.1,4.9,8.5,20.7,3.0,73.6,20.6,2.3,37.8,65.8,293.6,92.6,30.3,29.2,26.7,34.9,13.8,32.2,28.0,32.1,10.0,28.1,11.4,71.7,30.1,27.3,15.7,24.8,7.2,29.9,7.6,1.2,10.1,10.7,14.2,-12.1,11.2,2.8,35.6,21.1,73.3,-9.6,7.9,11.6,2.4,26.8,11.9,4.6
