Indicator Code,Indicator Name,Definition,Topic,Periodicity
IC.FRM.REG.REG6,Percent of firms visited or required to meet with tax officials,Percentage of firms that were visited or inspected by tax officials or were required to meet with them over the last year.,Regulations and Taxes,Annual
IC.FRM.FIN.FIN21,Percent of firms whose recent loan application was rejected,Percent of firms whose recent loan application was rejected.,Finance,Annual
IC.FRM.FIN.FIN14,Percent of firms with a bank loan/line of credit,Percentage of firms with bank loans or line of credit.,Finance,Annual
IC.FRM.FCHAR.CAR7,Percent of firms with at least 10% of foreign ownership,"Percentage of firms that have at least 10% owned by private foreign individuals, companies or organizations.",Firm Characteristics,Annual
IC.FRM.FCHAR.CAR8,Percent of firms with at least 10% of government/state ownership,Percentage of firms where the government or state has at least a 10% share in ownership of the firm.,Firm Characteristics,Annual
IC.FRM.GEN.GEND1,Percent of firms with female participation in ownership,Percentage of firms with females among the owners.,Gender,Annual
IC.FRM.GEN.GEND6,Percent of firms with majority female ownership,Percentage of firms with majority female ownership,Gender,Annual
IC.FRM.FIN.FIN2,Proportion of investment financed by banks (%),Estimated proportion of purchases of fixed assets that was financed from bank loans.,Finance,Annual
IC.FRM.FIN.FIN1,Proportion of investment financed internally (%),Estimated proportion of purchases of fixed assets that was financed from internal funds/retained earnings.,Finance,Annual
IC.FRM.FIN.FIN11,Proportion of loans requiring collateral (%),Loans requiring collateral in order to get the financing.,Finance,Annual
IC.FRM.FCHAR.CAR2,Proportion of private domestic ownership in a firm (%),"Percentage of the firm owned by domestic individuals, companies or organizations.",Firm Characteristics,Annual
IC.FRM.TRD.TR5,Proportion of total sales that are exported directly (%),Sales exported directly as percentage of total sales.,Trade,Annual
IC.FRM.FIN.FIN7,Proportion of working capital financed by banks (%),Proportion of the working capital that was financed by bank loans.,Finance,Annual
IC.FRM.PROD.GROW.PEFT3,Real annual labor productivity growth (%),"Annual labor productivity growth is measured by a percentage change in labor productivity between the last completed fiscal year and a previous period, where labor productivity is sales divided by the number of full- time permanent workers. All sales values are deflated to 2009 using each countryâ€™s GDP deflators.",Performance,Annual
IC.FRM.SLS.GROW.PEFT1,Real annual sales growth (%),Real annual sales growth is measured as a percentage change in sales between the last completed fiscal year and a previous period. All sales values are deflated to 2009 using each countryâ€™s GDP deflators.,Performance,Annual
IC.FRM.FIN.FIN10,Value of collateral needed for a loan (% of the loan amount),Value of collateral needed for a loan or line of credit as a percentage of the loan value or the value of the line of credit.,Finance,Annual
