Variable,Label
ef05_2,EF05_2 Technical/Advice
ef05_3,EF05_3 Marketing
ef05_4,EF05_4 Information Technology (ICT)
ef05_5,EF05_5 Informal Advice/training
ef05_6,EF05_6 Consultancy Advice
ef05_7,EF05_7 Business Counseling
ef05_8,EF05_8 Finance & Accounting
ef05_12,EF05_12 Other (specify)
ef06,EF06 What is the MOST important Type of training required by the employees?
ef07,EF07 What is the 2ND MOST important Type of training required by the employees?
ef08,EF08 What is the 3RD MOST important Type of training required by the employees?
eg01_1,EG01 What has been the establishment's expenditure on Goodwill
eg02_2,EG02 In which year did the business pay goodwill?
eg03_1,EG03 What is the establishment's monthly expenditure on Rent
eg04_1,EG04 What is the establishment's monthly expenditure on NSSF/Health Insurance
eg05_1,EG05 What is the establishment's monthly expenditure on Electricity
eg06_1,EG06 What is the establishment's monthly expenditure on Water
eg07_1,EG07 What is the establishment's monthly expenditure on Telephone usage
eg08_1,EG08 What is the establishment's monthly expenditure on Internet Costs
eg09_1,EG09 What is the establishment's monthly expenditure on Insurance (Business)
eg10_1,EG10 What is the establishment's monthly expenditure on Credit (interest and oth
eg11_1,EG11 What is the establishment's monthly expenditure on Salaries and Wages
eg12_1,EG12 What is the establishment's monthly expenditure on Purchases of business wa
eg13_1,EG13 What is the establishment's monthly expenditure on Purchases of inputs and 
eg14_1,EG14 What is the establishment's monthly expenditure on Transport/storage and wa
eg15_1,EG15 What is the establishment's monthly expenditure on Repairs/ maintenance
eg16_1,EG16 What is the establishment's monthly expenditure on Licenses issued
eg17_1,EG17 What is the establishment's monthly expenditure on Fines
eg18_1,EG18 What is the establishment's monthly expenditure on Taxes
eg19_1,EG19 What is the establishment's monthly expenditure on Advertising
eg20_1,EG20 What is the establishment's monthly expenditure on Product innovation
eg21_1,EG21 What is the establishment's monthly expenditure on Process innovation
eg22_1,EG22 What is the establishment's monthly expenditure on Social Responsibility
eg23_1,EG23 What is the establishment's monthly expenditure on Office supplies
eg24_1,EG24 What is the establishment's monthly expenditure on Additional Equipment and
eg25_1,EG25 What is the establishment's monthly expenditure on Other operating costs
eh01_1,EH01 What was the revenue from total sales of goods and services last month (KSh
eh02_1,EH02 What was the value of stocks (For non-service enterprises) at the beginning
eh03_1,EH03 What was the value of stocks (For non-service enterprises) at the end of la
eh04_1,EH04 In your opinion what is the net income from the business per month?
eh06,EH06 What is the MOST important use of net income from the business?
eh07,EH07 What is the 2nd MOST important use of net income from the business?
eh08,EH08 What is the 3rd MOST important use of net income from the business?
eh09,EH09 How do you rank your business performance in the last one month?
eh10,EH10 Good (above average)
eh11,EH11 Normal
eh12,EH12 Bad (below average)
eh13,"EH13 Compared to normal what is a good performance (1½,2,3,4 etc. times normal "
eh14,"EH14 Compared to normal what is a bad performance (1/4,1/2,3/4 etc. times normal"
eh15_1,EH15 How much is normal monthly revenue from the business. (KShs.)
eh16,EH16 Which is the best month of the business?
eh17,EH17 Which is the worst month of the business?
eh18,EH18 Was the last 3 months Period better or worse?
eh19,"EH19 During the period 2013 to 2015, did you introduce new or significantly impr"
eh20,"EH20 During the period 2013 to 2015, did you introduce new or significantly impr"
eh21,"EH21 During the period 2013 to 2015, did you implement a new marketing method in"
eh22_1,EH22 Please estimate the total turnover of goods and services in ( KSh) in 2015 
ej01,EJ01 What was the main reason for starting the business?
ej02,EJ02 What was the main reason for choosing this particular activity?
ej03_1,EJ03 What is the MOST important Non-financial assistance received in the last 4 
ej03_2,EJ03 What is the 2nd MOST important Non-financial assistance received in the las
ej04_1,EJ04 What is the MOST important Kind of non-financial assistance needed?
ej04_2,EJ04 What is the 2nd MOST important Kind of non-financial assistance needed?
ej05,EJ05 Which support group(s) do you belong to in relation to this business?
ej05x_1,MSEs associations
ej05x_2,Chamber of Commerce
ej05x_3,Other Business
ej05x_4,Merry-go- round
ej05x_5,ROSCAs
ej05x_6,Men/Women Association
ej05x_0,None
ej05x_96,Other (Specify)
ej06,EJ06 Which business records do you keep?
ej06x_0, None
ej06x_1, Cash sales and receipts
ej06x_2, Sales day book and monthly sales ledger
ej06x_3, Purchases day book & monthly purchases ledger
ej06x_4, Cashbook and petty cashbook 
ej06x_6, Bank reconciliation statements
ej06x_7, Complete set of accounts
ej06x_8, External Accountancy Services
ej06x_9,Personal notes
ej06x_96,Other (Specify)
no_reports1,
no_reports2,
ej07,EJ07 What reports do you generate from your business records?
ej07a_1,
ej07a_2,
ej07a_3,
ej07a_4,
ej07a_5,
ej08_1,EJ08 Approximately how many hours per week do you spend to generate those report
ej09,EJ09 What type of bank account (s) do you have for the business?
ej09a_1,
ej09a_2,
ej09a_3,
ej09a_4,
ej10,EJ10 Do you use Mobile Money Platform in your establishment ?
ej11,EJ11 Does your business have a pay bill/ till number ?
ej12,EJ12 In which ways do you use mobile money transfer in your business?
ej12x_1, Pay for goods & services
ej12x_2, Receive payments
ej12x_3, Banking
ej12x_0,N / A (do not use)
ej12x_96,Other (Specify)
ej12x_98,Don't Know
ej12x_99,Refused To Respond
ej13,EJ13 What is the sex of the owners of the business
ej14,EJ14 What is the Type of ownership structure of this business?
ej15,EJ15 Is the Business Registered by registrar of companies?
ej17,EJ17 How are prices set ?
ej18,EJ18 What is the Main source of inputs / purchases ?
ej18_2,EJ18_2 What was the corresponding value of the inputs / purchases in 2015?
ej19,EJ19 Who is the Main buyer of products or services ?
ej19_2,EJ19_2 What was the corresponding value of the products / services in 2015?
ej20,EJ20 What contracting arrangements for inputs or orders received from clients do
ej21,EJ21 What contracted arrangement for your products or services does the business
ej22_1,EJ22 What is the primary method of advertisement of products and services
ej22_2,EJ22_2 What is the Secondary method of advertisement of products and services
ej23_1,EJ23 What is your primary customer feedback mechanism?
ej23_2,EJ23_2 What is your secondary customer feedback mechanism?
ek01,EK01 What is your Main source of water?
ek01_2,EK01_2
ek02,EK02 Do you have access to a piped water ?
ek03,EK03 What is the distance to the nearest water pipeline?
ek04,EK04 Are you connected to piped water?
ek05,EK05 Have you applied for connection?
ek06,EK06 Give reasons why you have not applied for a connection
ek07,EK07 Give reasons for non-connection despite having applied for a connection
ek08,EK08 Do you have access to Electricity?
